I,Q
-0.004678144,-0.024892823
0.020641746,0.023785177
0.050049521,0.048786945
0.07752142,0.046092613
0.097360283,0.030065096
0.102413059,0.022596194
0.083523819,0.038480591
0.032318637,0.074876195
-0.052973469,0.110699825
-0.161720583,0.116700055
-0.269411959,0.071267126
-0.343386969,-0.02627583
-0.354956042,-0.152264834
-0.293028089,-0.267716764
-0.172326194,-0.3359336
-0.030836937,-0.340151052
0.084033562,-0.292225769
0.135280699,-0.227523395
0.113017267,-0.187987329
0.039594714,-0.201410618
-0.040281999,-0.267080841
-0.080580312,-0.355031573
-0.056407616,-0.419511697
0.023035703,-0.420278887
0.117739824,-0.34146559
0.17531436,-0.198999253
0.155939204,-0.033242095
0.051817921,0.109242264
-0.108319627,0.195734937
-0.271803482,0.219626854
-0.385451644,0.199535381
-0.418397524,0.16661958
-0.373487948,0.147181475
-0.282450267,0.149559339
-0.188271261,0.161620573
-0.12439064,0.159434043
-0.101263399,0.122003052
-0.106280198,0.044160348
-0.115580785,-0.058893545
-0.110053898,-0.157349946
-0.086120133,-0.219557353
-0.055504448,-0.225315021
-0.034938451,-0.173527087
-0.032707645,-0.081375288
-0.040774092,0.023495779
-0.037841989,0.113282922
-0.002126121,0.168037707
0.073465924,0.178810772
0.172983127,0.146449992
0.261760758,0.078660406
0.302294378,-0.012098045
0.273800239,-0.109132738
0.184961539,-0.191894828
0.072438493,-0.238519815
-0.014975664,-0.231651652
-0.039012463,-0.16605203
0.009993997,-0.054153256
0.108883884,0.074611673
0.213522318,0.182502152
0.28066377,0.237868579
0.288661556,0.229231696
0.246618312,0.171961069
0.187760636,0.103088503
0.151083593,0.065179862
0.161230713,0.085822867
0.217061236,0.162247015
0.294297296,0.259079367
0.359919612,0.321615631
0.389841565,0.299723305
0.380112182,0.17204882
0.346003557,-0.040671314
0.310375183,-0.280035952
0.288669215,-0.47122631
0.279475549,-0.552518899
0.266048734,-0.500525437
0.227612428,-0.340191325
0.153556415,-0.135061507
0.051993064,0.038182773
-0.052515725,0.120186737
-0.130904969,0.09164506
-0.164420903,-0.020950246
-0.153821879,-0.158405707
-0.117753088,-0.254693171
-0.081394413,-0.264415953
-0.06215575,-0.180500702
-0.060897654,-0.035304144
-0.063844387,0.114495244
-0.053918854,0.212188053
-0.024428546,0.224075274
0.01365618,0.151917889
0.036022271,0.030321972
0.01922514,-0.088993793
-0.04318001,-0.158867187
-0.132426994,-0.15515291
-0.210211471,-0.084748812
-0.236529798,0.019262828
-0.190728931,0.112340602
-0.08423073,0.156234488
0.042779955,0.132270823
0.139996627,0.045297278
0.171753965,-0.082045875
0.134882319,-0.220748063
0.059826969,-0.346456617
-0.006049623,-0.445018674
-0.024401171,-0.51093011
0.01279711,-0.54121631
0.078285219,-0.529856141
0.12398933,-0.467464438
0.107482057,-0.347666692
0.016269143,-0.177111011
-0.123382711,0.017149217
-0.258203301,0.18908206
-0.334274956,0.286294437
-0.323976583,0.270303469
-0.239034162,0.135856511
-0.122665715,-0.08062106
-0.025232912,-0.309662801
0.023057583,-0.473197515
0.027123974,-0.51559205
0.021138518,-0.427783307
0.044986286,-0.25283082
0.116414612,-0.06894771
0.215190341,0.04363017
0.289421303,0.037581993
0.282048081,-0.080694376
0.163922343,-0.254352409
-0.044680838,-0.402329515
-0.277005298,-0.456526811
-0.44749407,-0.392531035
-0.491137712,-0.239429799
-0.394543888,-0.064323274
-0.202329819,0.06056999
0.005143625,0.091884531
0.151761747,0.033539738
0.202902491,-0.068922495
0.180526426,-0.154300951
0.14802513,-0.177903115
0.172568509,-0.132913651
0.284742764,-0.049997929
0.457120935,0.0239723
0.613901753,0.055779738
0.667686088,0.047196296
0.565130332,0.035175879
0.318106439,0.069889067
0.003864543,0.182169248
-0.26689475,0.358659263
-0.399025529,0.539873182
-0.355410884,0.64473126
-0.172540364,0.610780314
0.057840419,0.429875918
0.231461775,0.159894838
0.27764622,-0.095813092
0.187065294,-0.233373994
0.009357681,-0.196910013
-0.175906045,-0.006860985
-0.298749419,0.24667197
-0.328790325,0.443602263
-0.282117756,0.488363331
-0.204258869,0.353506292
-0.140689973,0.091697112
-0.111727127,-0.18934778
-0.104796925,-0.376579406
-0.086649972,-0.401951289
-0.027002665,-0.269651719
0.080639633,-0.048429746
0.212809138,0.165435437
0.327558168,0.294962389
0.386517925,0.315761913
0.374730474,0.260474697
0.307104697,0.194338185
0.218220667,0.176431654
0.141733748,0.227572343
0.091439653,0.321171154
0.054961137,0.400484685
0.00370785,0.411650436
-0.086612189,0.334045292
-0.216833567,0.191727271
-0.357964106,0.040442222
-0.462146383,-0.062088133
-0.485919817,-0.086236436
-0.413726039,-0.044904866
-0.268965386,0.014812577
-0.106076398,0.037557742
0.013157044,-0.011048002
0.047680117,-0.127251647
-0.00413575,-0.272402232
-0.104290898,-0.393660761
-0.193379199,-0.45019053
-0.218176118,-0.430688722
-0.155278258,-0.353778723
-0.019924243,-0.25279056
0.143224395,-0.155078206
0.281768892,-0.068474138
0.35863736,0.017427511
0.365722864,0.116743023
0.322812329,0.229318548
0.264123456,0.331450827
0.220480323,0.382552149
0.206298662,0.345557061
0.216990343,0.210263934
0.236417777,0.006044008
0.248942647,-0.204758232
0.248944368,-0.351318771
0.242927362,-0.385438951
0.243891677,-0.303774942
0.2618608,-0.149635519
0.296155764,0.007044214
0.333564273,0.101843907
0.353099371,0.104230466
0.334633707,0.028315858
0.267107647,-0.078664742
0.15280341,-0.163346555
0.006550396,-0.194169
-0.148852016,-0.175750324
-0.288525306,-0.142845771
-0.390635474,-0.138102606
