I,Q
0.016942533,-0.10082241
0.104744275,0.040024956
0.187269196,0.117865019
0.253790284,0.119106238
0.310229381,0.081926395
0.337334678,0.088915049
0.275789303,0.145760541
0.123763638,0.276193129
-0.143615142,0.397096098
-0.512453947,0.424913916
-0.884714558,0.27813041
-1.160198176,-0.062831439
-1.186363755,-0.494360249
-1.000955821,-0.896172668
-0.587863974,-1.1252701
-0.121963657,-1.157706191
0.289233829,-1.00485458
0.466991997,-0.759162738
0.382223029,-0.583606416
0.120143672,-0.610893277
-0.166727607,-0.805461584
-0.284036952,-1.114171121
-0.212792895,-1.334780328
0.092949729,-1.351580432
0.388950055,-1.136268068
0.604205102,-0.671185815
0.558493435,-0.096406092
0.218666718,0.391863852
-0.317241662,0.694757175
-0.856739536,0.76859083
-1.251505024,0.674284995
-1.337675334,0.529655628
-1.207554901,0.442390079
-0.913984547,0.4620209
-0.617208244,0.487432258
-0.413022831,0.483823219
-0.333993095,0.378167924
-0.37050869,0.13310685
-0.402488643,-0.175630913
-0.383945456,-0.511622133
-0.290395135,-0.706295341
-0.171627254,-0.735417363
-0.089718151,-0.547898329
-0.07796019,-0.265313393
-0.0845697,0.105961638
-0.083790114,0.362669282
0.003000834,0.529288604
0.230901347,0.546937341
0.546618974,0.451865879
0.824794326,0.222626835
0.927098018,-0.046181249
0.82779715,-0.321947373
0.555204718,-0.582258601
0.20476213,-0.720510171
-0.041891892,-0.722391819
-0.096427023,-0.543561928
0.085838103,-0.200131329
0.393879753,0.172432571
0.727067232,0.543186672
0.906588273,0.750574263
0.90914792,0.72421875
0.77065914,0.575506666
0.580032948,0.373855162
0.479903147,0.220444731
0.540778135,0.260194903
0.745906181,0.493316102
0.974216168,0.773264774
1.153917117,0.986498068
1.210727289,0.944039085
1.152932891,0.546882165
1.042984267,-0.103080057
0.892617012,-0.87897592
0.859181017,-1.47073173
0.882297722,-1.668846093
0.902437661,-1.550936089
0.800334123,-1.088563002
0.593009351,-0.443763493
0.24885963,0.136965679
-0.118108195,0.41199868
-0.423052102,0.328504929
-0.602250112,-0.04535816
-0.563463849,-0.501855451
-0.438798134,-0.828571104
-0.283157979,-0.856158079
-0.187888105,-0.597299938
-0.156992102,-0.130664613
-0.136074669,0.348495957
-0.114873914,0.669116081
-0.073888888,0.712987853
0.005941994,0.481403949
0.071420872,0.098265778
0.011703099,-0.25646734
-0.173061164,-0.461581316
-0.423760495,-0.449101989
-0.632961743,-0.244686604
-0.729077843,0.057107493
-0.585611583,0.335214783
-0.260783283,0.450058026
0.129745636,0.362112237
0.402494217,0.140773575
0.497779018,-0.264943581
0.374048057,-0.686523323
0.141642406,-1.06189662
-0.067372987,-1.376079509
-0.065130067,-1.612464175
0.060059374,-1.715115531
0.287545006,-1.682731614
0.420049321,-1.498061259
0.388525244,-1.119958865
0.124021843,-0.519716336
-0.318069216,0.107052549
-0.75940626,0.674885222
-1.033390407,0.94352255
-1.044579441,0.874645407
-0.872527518,0.427493544
-0.517358721,-0.289181902
-0.198520792,-1.018731992
0.007881187,-1.526938776
0.075395199,-1.63260333
0.102664554,-1.362916811
0.220730541,-0.843751705
0.467639679,-0.268683923
0.746972597,0.078785032
0.949246927,0.093440658
0.851210219,-0.250410828
0.43882118,-0.737828513
-0.205490887,-1.173160142
-0.886658027,-1.326583307
-1.357072383,-1.187210232
-1.492713978,-0.76879745
-1.20878384,-0.273987562
-0.621015603,0.089585779
0.016431207,0.200975555
0.441267608,0.04844496
0.595105603,-0.24404373
0.533042,-0.461077971
0.456191853,-0.561312627
0.580943716,-0.434342145
0.943442936,-0.210040507
1.479774934,0.011169285
1.916055251,0.155252752
2.035838733,0.174385552
1.759393274,0.1891234
1.042582926,0.322781838
0.074444813,0.709039895
-0.788780691,1.238058953
-1.197076244,1.658462449
-1.123485133,1.870103473
-0.600907768,1.808862561
0.089423021,1.267340781
0.603444711,0.429063528
0.776276624,-0.338911182
0.567704966,-0.724165485
0.056055952,-0.579479938
-0.451695969,0.045782633
-0.801479128,0.820871146
-0.948997207,1.382126024
-0.902505639,1.491964594
-0.724595889,1.103372546
-0.570635913,0.309191941
-0.488728064,-0.614801814
-0.4080408,-1.181274884
-0.3011164,-1.27828967
-0.020830655,-0.903006314
0.365082711,-0.233872283
0.788070685,0.463965985
1.095698313,0.87722191
1.230435365,0.971882022
1.162995013,0.853546903
0.969647596,0.663307533
0.695910864,0.645031917
0.482416417,0.793774994
0.338498445,1.050866112
0.204274401,1.274339038
0.013764767,1.312648926
-0.29978003,1.099794629
-0.752626045,0.667838475
-1.204304214,0.180070665
-1.487302283,-0.181424886
-1.539165479,-0.295552829
-1.29782362,-0.184680323
-0.843128632,-0.009201398
-0.329209315,0.06058914
0.030934487,-0.075670948
0.113810057,-0.420393364
-0.059367249,-0.850002669
-0.368082534,-1.200332943
-0.58989095,-1.381218226
-0.665919957,-1.343228517
-0.46813558,-1.157186361
-0.012526247,-0.857194284
0.492739727,-0.575954913
0.920526221,-0.291067744
1.170148262,0.0275649
1.220576218,0.372406215
1.071525594,0.759730773
0.877548518,1.115015617
0.711424421,1.234751525
0.641132568,1.119254524
0.629416594,0.662897412
0.663100905,0.023149381
0.69712246,-0.665886141
0.74995461,-1.116400722
0.772910721,-1.235266998
0.827338788,-0.983079943
0.914056871,-0.523093798
1.028986135,-0.017272423
1.113398236,0.31971172
1.135924016,0.312200995
1.065252341,0.092229715
0.833541669,-0.224032496
0.468078387,-0.469097765
0.013551694,-0.569162244
-0.474210963,-0.510138723
-0.919543511,-0.412897923
-1.225005287,-0.426326969
-1.397036644,-0.598166976
-1.386670906,-0.912908674
-1.179103408,-1.245731738
-0.83961163,-1.484647502
-0.43767676,-1.486598812
-0.065938631,-1.328045529
0.187371773,-1.108736705
0.240091092,-0.96776858
