I,Q,I_dpd,Q_dpd
0.020894198,-0.068800244,0.023940034,-0.07809779
0.073526179,-0.036218004,0.030152459,-0.03213132
0.100883919,0.004726009,0.077052295,0.009195067
0.086881092,0.030166476,0.07523292,0.022649467
0.031949189,0.022444656,0.036732197,0.011234753
-0.046279482,-0.019254226,-0.028499477,-0.028969131
-0.119874814,-0.07705657,-0.087531544,-0.07216824
-0.162002278,-0.122843934,-0.11731898,-0.10659098
-0.157837742,-0.132769948,-0.120525874,-0.1053448
-0.110392175,-0.100134022,-0.09063768,-0.07319761
-0.038952327,-0.03957693,-0.041191906,-0.022655994
0.02897078,0.019902322,0.007813316,0.030684024
0.068633601,0.049667685,0.045659978,0.048318148
0.067395591,0.036321173,0.052677065,0.03410335
0.028723033,-0.010986869,0.03212706,-0.014046848
-0.030418359,-0.064619107,-0.01546023,-0.06504324
-0.087271155,-0.091846223,-0.06717696,-0.08673447
-0.122588922,-0.070845067,-0.09792789,-0.06714629
-0.127627462,-0.001420265,-0.108877055,-0.004257396
-0.106193326,0.094575669,-0.09732283,0.07408857
-0.071428115,0.182921191,-0.07075719,0.14222841
-0.039284473,0.231770377,-0.04194016,0.18215428
-0.021884489,0.224397806,-0.02021718,0.17408244
-0.02364413,0.164450078,-0.0115843415,0.122375235
-0.041431723,0.072287913,-0.01933512,0.046684265
-0.067951983,-0.024701815,-0.040194817,-0.025501698
-0.096057228,-0.102614336,-0.05893261,-0.08213636
-0.121512739,-0.147720501,-0.08176645,-0.12015131
-0.142921483,-0.157504601,-0.108170025,-0.12460075
-0.159363985,-0.13743023,-0.12749317,-0.108095065
-0.167779901,-0.096659028,-0.13877785,-0.07631698
-0.162346586,-0.045566232,-0.13717982,-0.03475631
-0.13690905,0.004186661,-0.11748206,0.008568265
-0.089515452,0.038577038,-0.07906764,0.039989248
-0.026456554,0.041737272,-0.02859456,0.03795387
0.037060926,-0.000248868,0.034821652,0.013799995
0.081023486,-0.092889028,0.07079685,-0.059691757
0.088374668,-0.227097633,0.082973644,-0.16739787
0.053002857,-0.377086732,0.059297297,-0.29185686
-0.016192422,-0.504885312,0.00011560321,-0.4036736
-0.097824897,-0.571150338,-0.075472765,-0.46427667
-0.16669124,-0.548791261,-0.1410676,-0.4466477
-0.204901413,-0.434112717,-0.17991936,-0.34939474
-0.210151804,-0.250653078,-0.19179869,-0.19933955
-0.196816108,-0.043544337,-0.18676597,-0.036805734
-0.188845166,0.13408019,-0.17531016,0.10492724
