EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_EVM,VAL_ACLR_L,VAL_ACLR_R,VAL_ACLR_AVG,TEST_LOSS,TEST_NMSE,TEST_EVM,TEST_ACLR_L,TEST_ACLR_R,TEST_ACLR_AVG
0,100,0.07804455,0.00100000,64,1404,50,dgru,8,0.28682610,0.01792562,-13.336708,-15.93929075,-18.56168279,-19.03030933,-18.79599606,0.01953609,-13.407163,-15.82992721,-18.14680869,-18.27130653,-18.20905761
1,100,0.14881597,0.00100000,64,1404,50,dgru,8,0.01119429,0.00450182,-19.341433,-21.83386282,-24.60990190,-24.50287456,-24.55638823,0.00505228,-19.291784,-21.82399928,-23.49999683,-23.98086712,-23.74043197
2,100,0.21983217,0.00100000,64,1404,50,dgru,8,0.00419700,0.00221946,-22.421524,-24.88510957,-28.15497314,-27.85089372,-28.00293343,0.00252528,-22.305616,-24.87540722,-27.10705324,-27.36000498,-27.23352911
3,100,0.29046248,0.00100000,64,1404,50,dgru,8,0.00227992,0.00140345,-24.412466,-26.88743446,-30.64220999,-30.37887422,-30.51054211,0.00161035,-24.259125,-26.86921949,-29.69772232,-29.67936087,-29.68854160
4,100,0.36112728,0.00100000,64,1404,50,dgru,8,0.00148342,0.00103228,-25.743834,-28.25811165,-32.41191287,-32.32300049,-32.36745668,0.00118545,-25.586609,-28.26305205,-31.50974963,-31.34334316,-31.42654640
5,100,0.43173320,0.00100000,64,1404,50,dgru,8,0.00107302,0.00080198,-26.838274,-29.33535061,-33.94797042,-33.66215750,-33.80506396,0.00092576,-26.663527,-29.34914562,-33.08640693,-32.51779637,-32.80210165
6,100,0.50242976,0.00100000,64,1404,50,dgru,8,0.00083295,0.00066204,-27.672503,-30.16073464,-35.17456782,-34.69463657,-34.93460220,0.00076876,-27.472122,-30.17564898,-34.25150947,-33.42427553,-33.83789250
7,100,0.57322860,0.00100000,64,1404,50,dgru,8,0.00067889,0.00056734,-28.341936,-30.81091276,-36.27945585,-35.51473932,-35.89709759,0.00066209,-28.123701,-30.82899433,-35.30279631,-34.18514590,-34.74397111
8,100,0.64380774,0.00100000,64,1404,50,dgru,8,0.00057236,0.00050017,-28.888521,-31.30639675,-37.27569284,-36.30949142,-36.79259213,0.00058658,-28.652407,-31.34412955,-36.19403333,-35.02172361,-35.60787847
9,100,0.71440706,0.00100000,64,1404,50,dgru,8,0.00049499,0.00045324,-29.31579,-31.75291324,-38.02124401,-36.93986679,-37.48055540,0.00053331,-29.069159,-31.79354292,-36.96022637,-35.65006515,-36.30514576
10,100,0.78485771,0.00100000,64,1404,50,dgru,8,0.00043704,0.00040981,-29.75274,-32.11147607,-38.85190374,-37.60650796,-38.22920585,0.00048271,-29.502565,-32.18965800,-37.62022757,-36.38881783,-37.00452270
11,100,0.85531400,0.00100000,64,1404,50,dgru,8,0.00039164,0.00037560,-30.130644,-32.46957537,-39.61586391,-38.07721484,-38.84653937,0.00044407,-29.87169,-32.57288486,-38.31852693,-37.00117193,-37.65984943
