EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_EVM,VAL_ACLR_L,VAL_ACLR_R,VAL_ACLR_AVG,TEST_LOSS,TEST_NMSE,TEST_EVM,TEST_ACLR_L,TEST_ACLR_R,TEST_ACLR_AVG
0,100,0.28458810,0.00100000,64,486,50,dgru,8,0.16320597,0.05377724,-10.563895,-12.18334625,-15.17472004,-14.92879421,-15.05175712,0.06271069,-10.360658,-11.70128041,-16.03618874,-15.05366589,-15.54492731
1,100,0.30960775,0.00100000,64,486,50,dgru,8,0.02420543,0.00721509,-19.280634,-21.34160025,-24.36096970,-23.27138232,-23.81617601,0.00845001,-19.063017,-21.03192014,-24.29027092,-23.65195320,-23.97111206
2,100,0.33437728,0.00100000,64,486,50,dgru,8,0.00490643,0.00279374,-23.395285,-25.52332448,-28.78618590,-27.63716482,-28.21167536,0.00318894,-23.279074,-25.48150412,-28.45842108,-27.59693690,-28.02767899
3,100,0.35920415,0.00100000,64,486,50,dgru,8,0.00279876,0.00198906,-24.872215,-26.84832814,-30.37580102,-29.10886672,-29.74233387,0.00229554,-24.70719,-26.82303231,-30.77826076,-28.78212514,-29.78019295
4,100,0.38414069,0.00100000,64,486,50,dgru,8,0.00217255,0.00163381,-25.729624,-27.66036510,-31.08132300,-29.85919426,-30.47025863,0.00191727,-25.495462,-27.55307630,-31.53170123,-29.48991688,-30.51080906
5,100,0.40928783,0.00100000,64,486,50,dgru,8,0.00184131,0.00142615,-26.327055,-28.21666086,-31.75589286,-30.34834969,-31.05212127,0.00169907,-26.025688,-28.07872611,-31.94529447,-29.95849540,-30.95189494
6,100,0.43442373,0.00100000,64,486,50,dgru,8,0.00163789,0.00129285,-26.754847,-28.63554927,-32.03325667,-30.52467643,-31.27896655,0.00154839,-26.43415,-28.49892744,-32.02734186,-30.09328682,-31.06031434
7,100,0.45937994,0.00100000,64,486,50,dgru,8,0.00149951,0.00117831,-27.157572,-29.03319597,-32.09460126,-30.77399687,-31.43429907,0.00142061,-26.808474,-28.88608281,-31.96221071,-30.33714708,-31.14967890
8,100,0.48433468,0.00100000,64,486,50,dgru,8,0.00140090,0.00111445,-27.401827,-29.26193996,-32.29015844,-30.96707506,-31.62861675,0.00134193,-27.058035,-29.15983496,-32.00468423,-30.48160105,-31.24314264
9,100,0.50943178,0.00100000,64,486,50,dgru,8,0.00132360,0.00105372,-27.643126,-29.50228605,-32.43601871,-31.09848259,-31.76725065,0.00126403,-27.317068,-29.44938093,-31.98204107,-30.45283481,-31.21743794
10,100,0.53448247,0.00100000,64,486,50,dgru,8,0.00125858,0.00100174,-27.860817,-29.69359834,-32.37083342,-31.13557289,-31.75320315,0.00119708,-27.552526,-29.69945272,-31.82008571,-30.42786336,-31.12397454
11,100,0.55953110,0.00100000,64,486,50,dgru,8,0.00120477,0.00095604,-28.063208,-29.89880658,-32.52278111,-31.16727585,-31.84502848,0.00114069,-27.759813,-29.92350011,-31.82801122,-30.36349065,-31.09575093
12,100,0.58454825,0.00100000,64,486,50,dgru,8,0.00115709,0.00091654,-28.245996,-30.04358754,-32.77586030,-31.32415266,-32.05000648,0.00108879,-27.960968,-30.09294220,-31.93919597,-30.35456435,-31.14688016
